"","Accomack","Albemarle","Alexandria","Alleghany","Amelia","Amherst","Appomattox","Arlington","Augusta","Bath","Bedford","Bland","Botetourt","Bristol","Brunswick","Buchanan","Buckingham","Buena Vista","Campbell","Caroline","Carroll","Charles City","Charlotte","Charlottesville","Chesapeake","Chesterfield","Clarke","Colonial Heights","Covington","Craig","Culpeper","Cumberland","Danville","Dickenson","Dinwiddie","Emporia","Essex","Fairfax","Fairfax City","Falls Church","Fauquier","Floyd","Fluvanna","Franklin","Franklin City","Frederick","Fredericksburg","Galax","Giles","Gloucester","Goochland","Grayson","Greene","Greensville","Halifax","Hampton","Hanover","Harrisonburg","Henrico","Henry","Highland","Hopewell","Isle of Wight","James City","King and Queen","King George","King William","Lancaster","Lee","Lexington","Loudoun","Louisa","Lunenburg","Lynchburg","Madison","Manassas","Manassas Park","Martinsville","Mathews","Mecklenburg","Middlesex","Montgomery","Nelson","New Kent","Newport News","Norfolk","Northampton","Northumberland","Norton","Nottoway","Orange","Page","Patrick","Petersburg","Pittsylvania","Poquoson","Portsmouth","Powhatan","Prince Edward","Prince George","Prince William","Pulaski","Radford","Rappahannock","Richmond","Richmond City","Roanoke","Roanoke City","Rockbridge","Rockingham","Russell","Salem","Scott","Shenandoah","Smyth","Southampton","Spotsylvania","Stafford","Staunton","Suffolk","Surry","Sussex","Tazewell","Virginia Beach","Warren","Washington","Waynesboro","Westmoreland","Williamsburg","Winchester","Wise","Wythe","York"
"Accomack",0,377.767,296.518,611.648,324.581,453.142,409.264,293.527,439.057,517.337,479.558,687.408,541.4,778.178,282.278,518.807,377.184,488.844,361.681,318.493,673.433,223.028,374.795,375.185,138.075,279.567,393.845,253.305,544.353,506.885,396.142,346.921,434.606,853.578,273.163,250.68,263.869,319.177,319.177,303.77,365.242,632.791,362.912,193.996,50.097,423.668,344.871,649.093,650.143,192.302,311.571,694.636,398.204,254.452,395.4,139.128,279.601,467.936,360.753,264.316,637.665,276.125,168.768,198.917,245.42,354.827,245.589,251.06,308.436,482.659,352.912,353.015,337.943,442.922,398.432,344.747,337.091,487.046,216.532,335.819,22.315,592.91,164.044,222.494,150.423,125.975,148.245,270.224,838.468,313.757,381.995,816.778,533.225,246.034,440.718,154.055,128.847,316.066,365.563,241.908,329.585,638.318,616.724,277.396,262.192,262.192,564.006,564.006,490.02,473.657,403.528,562.86,361.072,430.413,712.389,277.615,335.47,358.315,435.516,156.558,198.011,249.16,747.242,132.074,406.514,399.821,420.363,298.956,185.477,412.949,842.609,145.87,179.568
"Albemarle",386.781,0,190.98,239.424,129.287,80.47,130.004,179.624,66.833,145.113,145.417,315.184,169.176,405.954,248.908,146.583,75.869,116.62,24.888,169.752,301.209,175.815,144.991,6.562,296.534,142.885,222.442,159.53,172.129,288.435,74.053,98.606,214.955,481.354,187.882,230.362,190.62,159.666,159.666,170.333,111.751,260.567,46.516,248.465,436.427,213.778,110.505,323.966,277.919,218.458,85.66,322.412,34.753,222.737,189.22,247.9,138.172,95.712,203.547,139.477,265.441,161.177,253.599,216.157,193.532,138.202,168.014,238.839,179.98,110.435,185.083,61.999,162.152,106.811,43.8,130.382,133.985,230.166,240.023,187.565,366.584,220.686,229.453,169.831,252.171,273.818,242.407,231.723,466.244,149.309,50.075,444.554,301.448,164.496,184.569,240.271,282.096,105.343,108.833,169.26,151.501,266.094,244.5,230.24,125.544,125.544,191.782,191.782,117.796,101.433,226.559,190.636,114.651,66.962,340.165,120.842,110.258,124.044,63.292,290.335,209.268,205.88,375.018,296.664,45.931,89.134,48.139,225.707,206.131,206.612,470.385,247.618,235.658
"Alexandria",295.758,191.801,0,441.139,222.772,258.711,307.455,13.614,249.584,343.378,323.658,516.899,370.891,607.669,290.847,348.298,271.63,318.335,165.947,116.69,502.924,208.059,297.549,178.73,328.778,188.251,114.464,201.469,373.844,490.15,121.864,241.367,391.386,683.069,229.821,272.301,160.137,28.183,28.183,23.998,83.571,462.282,180.323,290.404,256.895,144.287,78.106,525.681,479.634,250.702,193.956,524.127,170.413,264.676,339.793,280.144,145.626,219.446,346.949,157.431,467.156,204.178,298.41,248.401,198.585,109.907,174.451,208.355,15.472,312.15,73.531,144.238,281.439,285.052,148.46,54.96,55.42,476.878,272.267,322.015,317.559,422.401,261.697,202.075,284.415,306.062,274.651,164.345,667.959,256.485,133.474,646.269,503.163,206.435,362.81,272.515,314.34,210.512,263.754,211.715,36.621,467.809,446.215,199.756,167.483,167.483,393.497,393.497,319.511,220.935,118.233,392.351,79.401,185.682,541.88,173.359,97.666,61.65,258.545,322.579,252.269,247.819,576.733,328.908,212.083,118.15,274.223,149.279,238.375,133.568,672.1,279.862,267.902
"Alleghany",613.116,240.692,440.516,0,267.439,179.518,181.265,429.16,195.185,176.709,111.532,106.621,83.913,197.391,330.223,94.339,216.797,137.597,259.022,396.087,92.646,402.15,205.558,242.441,522.869,369.22,350.794,385.865,138.959,118.276,312.667,247.058,177.409,272.791,320.073,349.994,416.955,409.202,409.202,419.869,376.487,52.004,272.851,474.8,662.762,342.13,344.639,115.403,39.605,444.793,311.995,113.849,265.267,353.477,215.349,474.235,364.507,224.064,255.83,365.812,33.58,387.512,479.934,442.492,419.867,372.336,394.349,465.174,429.516,132.982,394.994,288.334,244.882,156.503,282.414,394.703,394.811,124.658,466.358,258.643,592.919,17.705,455.788,396.166,478.506,500.153,468.742,458.058,257.681,266.056,284.91,193.543,92.885,390.831,167.747,466.606,508.431,331.678,227.091,395.595,415.486,57.531,27.694,456.575,351.879,351.879,68.488,68.488,125.156,229.785,354.911,55.42,377.613,247.943,131.602,347.177,336.593,358.178,188.73,516.67,435.603,432.215,132.37,522.999,272.266,312.846,200.245,452.042,432.466,334.964,261.822,473.953,461.993
"Amelia",323.967,122.117,222.924,269.257,0,136.513,84.958,226.705,183.407,261.687,155.252,345.017,214.222,435.787,100.169,189.096,81.45,179.518,106.031,122.894,331.042,99.794,75.052,119.535,207.418,49.288,267.586,72.648,255.664,241.168,148.304,53.41,168.889,511.187,73.105,143.48,144.15,217.672,217.672,227.725,206.335,264.345,85.218,161.583,373.613,301.143,149.272,353.799,307.752,155.644,44.198,352.245,142.554,135.855,117.296,185.086,92.729,212.286,124.826,88.541,295.274,74.295,166.717,153.343,149.972,159.228,121.544,187.509,210.542,189.432,272.206,97.365,58.942,118.616,142.782,209.085,212.179,221.329,177.209,101.62,303.77,250.519,166.639,107.017,189.357,211.004,179.593,185.253,496.077,35.414,126.345,474.387,267.508,77.614,167.123,177.457,219.282,29.569,41.257,82.378,196.659,295.927,274.333,183.77,63.449,63.449,200.75,200.75,186.632,218.007,273.646,220.469,209.235,174.763,369.998,58.692,139.871,162.716,179.866,172.457,122.386,118.998,404.851,233.85,117.53,188.116,164.713,179.237,143.317,274.163,500.218,184.804,172.844
"Amherst",453.321,80.513,258.591,179.069,137.11,0,50.936,258.059,98.28,126.952,66.349,254.829,108.821,345.599,199.894,86.228,52.153,43.911,99.227,236.292,240.854,242.355,96.112,82.646,363.074,160.194,253.889,183.554,120.057,179.529,152.488,82.414,135.887,420.999,189.744,219.665,257.16,238.101,238.101,248.768,190.186,175.442,113.056,272.489,502.967,245.225,184.844,263.611,217.564,284.998,128.269,262.057,113.188,223.148,110.152,314.44,204.712,127.159,150.633,206.017,205.086,185.201,277.623,282.697,260.072,212.541,234.554,305.379,246.209,53.825,263.518,128.539,134.752,27.743,122.235,208.817,212.42,151.098,306.563,148.873,433.124,160.331,295.993,236.371,318.711,340.358,308.947,298.263,405.889,135.727,125.115,384.199,205.869,188.52,105.501,306.811,348.636,114.18,96.762,193.284,232.326,205.739,184.145,296.78,192.084,192.084,111.847,111.847,60.166,132.88,258.006,130.281,193.086,130.682,279.81,161.304,176.798,198.383,94.739,283.363,233.292,229.904,314.663,363.204,70.025,167.569,74.583,292.247,272.671,238.059,410.03,314.158,302.198
"Appomattox",409.038,128.748,307.995,183.488,85.233,50.744,0,311.776,146.515,176.79,69.483,259.248,128.453,350.018,148.017,103.327,38.307,93.749,119.874,207.965,245.273,184.865,44.235,103.646,282.062,134.359,302.124,156.749,169.895,172.472,200.723,68.568,128.83,425.418,137.867,167.788,229.221,302.743,302.743,312.796,238.421,178.576,94.687,224.012,458.684,293.46,234.343,268.03,221.983,240.715,114.423,266.476,161.423,171.271,78.59,270.157,177.8,175.394,112.962,173.612,209.505,159.366,241.361,238.414,235.043,244.299,206.615,272.58,295.613,103.663,311.753,132.895,82.875,32.847,170.47,257.052,297.25,144.041,262.28,96.996,388.841,164.75,251.71,192.088,274.428,275.837,264.664,270.324,410.308,83.85,142.208,388.618,198.812,152.219,98.444,262.528,272.988,100.334,44.885,160.85,281.73,210.158,188.564,268.841,148.52,148.52,114.981,114.981,100.863,181.115,306.241,134.7,241.321,178.917,284.229,143.763,176.477,247.787,142.974,247.101,207.457,167.904,319.082,318.921,72.414,215.804,122.818,264.308,228.388,286.294,414.449,269.875,257.915
"Arlington",293.195,179.373,13.441,428.711,226.948,258.114,311.631,0,237.156,330.95,367.238,504.471,358.463,595.241,295.023,335.87,275.806,305.907,170.123,120.866,490.496,212.235,301.725,181.729,332.954,192.427,100.137,205.645,361.416,477.722,109.436,245.543,395.562,670.641,233.997,276.477,164.313,25.078,25.078,9.671,71.143,449.854,184.499,294.58,254.332,129.96,82.282,513.253,467.206,254.878,198.132,511.699,157.985,268.852,343.969,284.32,149.802,207.018,351.125,161.607,454.728,208.354,302.586,252.577,202.761,114.083,178.627,212.531,19.409,299.722,59.204,148.414,285.615,284.455,136.032,50.648,42.992,464.45,276.443,326.191,314.996,409.973,265.873,206.251,288.591,310.238,278.827,205.415,655.531,260.661,137.65,633.841,490.735,210.611,362.213,276.691,318.516,214.688,267.93,215.891,40.797,455.381,433.787,203.932,171.659,171.659,381.069,381.069,307.083,208.507,103.906,379.923,66.973,173.254,529.452,177.535,101.842,65.826,246.117,326.755,256.445,251.995,564.305,333.084,216.259,105.722,261.795,163.928,242.551,119.241,659.672,284.038,272.078
"Augusta",440.076,67.652,248.746,194.121,182.582,98.693,148.227,237.39,0,93.06,132.648,269.881,123.873,360.651,302.203,101.28,114.984,71.317,85.982,223.047,255.906,229.11,193.403,69.401,349.829,196.18,159.024,212.825,126.826,243.132,139.627,151.901,233.178,436.051,241.177,283.657,243.915,217.432,217.432,228.099,184.717,215.264,99.811,301.76,489.722,150.36,171.599,278.663,232.616,271.753,138.955,277.109,73.497,276.032,207.443,301.195,191.467,32.294,256.842,192.772,220.138,214.472,306.894,269.452,246.827,199.296,221.309,292.134,237.746,65.132,203.224,115.294,215.447,125.034,109.374,202.933,203.041,229.86,293.318,240.86,419.879,175.383,282.748,223.126,305.466,327.113,295.702,285.018,420.941,202.604,111.87,399.251,256.145,217.791,202.792,293.566,335.391,158.638,162.128,222.555,223.716,220.791,199.197,283.535,178.839,178.839,146.479,146.479,72.493,38.015,163.141,145.333,185.843,56.173,294.862,174.137,163.553,185.138,8.256,343.63,262.563,259.175,329.715,349.959,99.226,121.076,27.205,279.002,259.426,143.194,425.082,300.913,288.953
"Bath",519.046,146.622,342.46,174.718,261.552,127.521,178.559,331.104,93.218,0,146.931,249.865,93.037,341.248,381.173,115.563,178.858,85.6,164.952,302.017,236.503,308.08,223.735,148.371,428.799,275.15,252.738,291.795,40.104,223.729,218.597,209.119,263.51,388.6,320.147,362.627,322.885,311.146,311.146,321.813,278.431,195.861,178.781,380.73,568.692,244.074,250.569,259.26,145.198,350.723,217.925,257.706,167.211,355.002,237.775,380.165,270.437,126.008,278.256,271.742,200.735,293.442,385.864,348.422,325.797,278.266,300.279,371.104,331.46,74.694,296.938,194.264,262.375,148.606,188.344,296.647,296.755,210.457,372.288,276.496,498.849,155.98,361.718,302.096,384.436,406.083,374.672,363.988,389.205,263.35,190.84,328.997,236.742,296.761,233.124,372.536,414.361,237.608,224.385,301.525,317.43,201.388,179.794,362.505,257.809,257.809,127.076,127.076,83.609,131.729,256.855,125.93,279.557,149.887,275.459,253.107,242.523,264.108,84.661,422.6,341.533,338.145,267.824,428.929,178.196,214.79,106.175,357.972,338.396,236.908,393.346,379.883,367.923
"Bedford",479.4,146.516,324.594,113.541,155.595,68.512,69.421,366.859,132.884,147.228,0,189.301,58.506,280.071,218.379,33.948,104.953,62.005,165.23,302.295,175.326,255.227,101.097,148.649,352.424,204.721,288.493,227.111,100.416,116.726,218.491,135.214,113.852,355.471,208.229,238.15,323.163,346.901,346.901,357.568,256.189,110.249,179.059,294.374,529.046,279.829,250.847,198.083,152.036,311.077,181.069,196.529,179.191,241.633,111.766,340.519,270.715,161.763,152.247,272.02,139.558,229.728,311.723,308.776,326.075,278.544,300.557,371.382,312.212,70.681,332.693,194.542,140.421,44.659,188.238,274.82,332.51,103.454,332.642,154.182,459.203,94.803,322.072,262.45,344.79,346.199,335.026,364.266,340.361,154.212,191.118,318.671,120.931,222.581,83.466,332.89,343.35,166.98,115.247,231.212,298.329,140.211,118.617,362.783,218.882,218.882,45.034,45.034,62.855,167.484,292.61,64.753,259.089,185.642,214.282,214.125,242.801,264.386,126.429,317.463,277.819,238.266,249.135,389.283,136.028,233.572,137.944,358.25,298.75,272.663,344.502,340.237,328.277
