"","Adams","Allen","Ashland","Ashtabula","Athens","Auglaize","Belmont","Brown","Butler","Carroll","Champaign","Clark","Clermont","Clinton","Columbiana","Coshocton","Crawford","Cuyahoga","Darke","Defiance","Delaware","Erie","Fairfield","Fayette","Franklin","Fulton","Gallia","Geauga","Greene","Guernsey","Hamilton","Hancock","Hardin","Harrison","Henry","Highland","Hocking","Holmes","Huron","Jackson","Jefferson","Knox","Lake","Lawrence","Licking","Logan","Lorain","Lucas","Madison","Mahoning","Marion","Medina","Meigs","Mercer","Miami","Monroe","Montgomery","Morgan","Morrow","Muskingum","Noble","Ottawa","Paulding","Perry","Pickaway","Pike","Portage","Preble","Putnam","Richland","Ross","Sandusky","Scioto","Seneca","Shelby","Stark","Summit","Trumbull","Tuscarawas","Union","Van Wert","Vinton","Warren","Washington","Wayne","Williams","Wood","Wyandot"
"Adams",0,140.733,164.267,256.233,160.817,112.817,185.35,230.533,151.4,111.75,60.35,127.2,98.7,194.133,246.283,165.267,181.717,228.667,10.483,123.417,117.733,157.35,84.733,163.2,59.683,126.783,163.567,232.567,254.283,173.35,79.933,109.817,33.4,95.367,100.567,101.533,118.5,122.983,175.65,138.933,254.15,178.633,204.617,181.033,122.15,136.75,197.633,146.617,237.1,229.367,130.8,186.017,172.083,56.667,72.4,65.55,81.717,96.817,91.8,152.533,122.117,89.05,99.733,240.983,127.117,149.317,108.717,42,142.883,142.233,89.65,174.55,105.733,194.583,148.517,204.117,201.633,248.783,187.25,29.283,75.2,163.85,239.45,56.05,117.467,134.85,113.25,120.083
"Allen",141.017,0,107.5,151.567,225.217,82.533,212.633,166.033,138.75,176.133,147.167,227.617,199.117,123.017,156.9,199.633,185.733,127.75,151.217,70.75,123.067,25.4,185.15,66.7,160.1,132.617,258.783,122.033,157.25,182.05,178.45,64.417,113.933,195.767,50.583,201.95,182.883,88.683,50.117,234.167,149.483,148.883,131.633,276.267,184.6,201.133,77.667,124.733,132.433,131,107.65,108.133,216.483,119.033,195.567,165.967,182.117,200.383,192.2,205.817,68.517,80.483,87.083,130.633,200.967,211.767,41.133,165.15,205.317,237.467,190.067,50.05,139.3,222.483,101.167,137.85,228.9,144.1,133.367,144.317,107.417,259.083,141.083,156.467,37.217,80.233,40.2,97.5
"Ashland",161.9,104.817,0,114.017,144.167,143.733,136.333,90.4,37.517,95.1,117.05,191.867,171.25,51.917,104.05,92.65,78.75,86.433,166.65,145.8,68.7,84.983,167.083,140.8,151.033,51.433,179.45,90.333,112.05,105.733,169.383,107.783,134.817,177.7,96.033,138.4,101.85,51.5,64.05,154.817,111.933,41.9,62.383,196.917,111.167,120.1,74.517,25.35,94.883,87.133,72.983,43.8,140.167,139.917,188.417,156.9,153.717,182.317,147.75,105.3,145.55,113.283,143.1,98.75,121.617,131.05,104.183,158.017,117.533,158.117,172,74.4,83.3,146.183,28.333,63.983,152.6,106.55,47.117,138.55,123.283,179.733,97.217,140.783,110.233,154.333,108.717,58.067
"Ashtabula",254.15,148.533,111.217,0,234,205.9,159.017,123.583,134.4,188.1,210.05,284.867,264.25,89.55,69.2,153.583,140.983,74.317,259.65,194.117,161.7,127.017,260.083,187.133,244.033,144.433,272.45,37.267,31.4,142.567,262.383,187.783,229.617,270.7,173.95,231.4,194.85,146.3,102.583,247.817,14.933,143.317,92.15,289.917,186.533,213.1,91.567,118.35,21,62.583,167.8,86.017,177,234.717,281.417,249.9,246.717,275.317,240.75,178.583,191.883,203.85,210.45,29.317,214.617,203.583,166.583,251.017,172.283,251.117,265,117.033,176.3,183.017,132.717,98.383,189.417,25.25,99.9,231.55,218.083,263.75,52.1,233.783,156.717,200.667,163.567,152.883
"Athens",160.883,223.5,144.9,235.517,0,218.25,118.317,166.233,133.917,51.983,122.3,138.917,140.55,168.45,204.15,130.817,147.267,203.783,166.383,219.95,105.633,216.65,158.883,242.6,150.767,109.317,66.717,211.85,220.233,105.833,163.117,192.3,158.1,169.517,180.55,119.15,47.033,152.017,202.333,47.717,233.433,148.467,155.467,87.383,78.683,27.933,210.55,129.133,216.383,198.65,133.317,168.55,76.817,178.65,188.05,152.35,145.533,174.117,139.55,95.833,227.433,187.067,217.8,220.267,65.25,52.167,188.683,157.75,75.3,51.35,163.8,212.233,105.05,102.6,148.95,144.283,102.283,228.067,155.383,138.283,197.117,45.25,208.933,140.517,195.133,249.183,193.233,135.05
"Auglaize",114.8,79.517,145.383,206.3,219.5,0,244.033,214.4,153.467,170.417,130.533,205.1,176.6,175.367,209.233,211.083,202.917,180.083,107.733,15.133,126.767,96.8,162.633,61.317,137.583,136.3,241.45,176.767,209.6,229.733,155.933,53.833,91.417,173.25,64.583,179.433,177.183,104.1,113.517,216.833,204.217,166.633,183.983,258.933,180.833,195.433,136.417,137.317,187.167,183.35,111.333,160.483,230.767,59.2,169.067,143.45,159.617,177.867,169.7,202.05,18.45,33.833,16.983,185.367,189.033,208,63.717,138.65,201.55,220.133,167.55,114.817,133.05,253.267,129.633,187.983,260.317,198.833,171.117,121.8,40.633,241.75,193.433,133.95,72.283,39.85,61.383,101.183
"Belmont",185.983,213.567,137.383,159.483,119.95,242.95,0,98.383,133.217,100.2,147.4,212.067,191.45,108.167,97.3,71.55,80.083,143.5,191.483,244.667,128.283,194.217,187.267,249.567,175.867,131.867,171.417,151.567,134.833,45.55,191.5,214.95,183.2,197.9,203.2,158.6,108.183,169.2,169.783,159.017,151.333,115.267,95.183,195.25,72,118.533,160.733,142.367,156.1,131.6,155.983,123.517,62.95,203.35,213.25,180.75,173.917,202.5,167.95,65.75,252.133,211.783,242.5,159.983,130.5,89.05,211.333,182.85,57.75,162.65,192.2,184.233,129.767,39.033,155.617,84,43.483,159.85,95.1,163.367,221.833,149.7,128.65,165.617,217.783,263.083,215.883,157.7
"Brown",227.983,163.45,87.2,124.733,164.3,211.233,99.417,0,99.683,145.033,183.883,256.9,236.267,56.283,62.55,83.867,71.283,93.617,233.483,206.417,135.517,144.1,232.1,199.433,217.867,118.267,215.767,101.433,100.083,72.867,236.217,175.3,202.317,242.733,163.55,203.417,153,119.017,119.65,203.367,116.583,90.95,45.067,239.6,116.833,163.35,110.617,92.183,105.983,79.383,140.5,73.4,107.3,207.417,255.25,223.733,218.733,247.333,212.767,108.867,204.183,180.783,210.617,109.85,175.333,133.883,171.683,224.85,102.567,207,237.017,134.1,150.133,113.3,105.417,33,119.717,117.65,42.85,205.367,190.8,194.033,90.467,207.617,169.033,212.967,176.217,125.583
"Butler",150.183,136.55,38.217,134.167,133.2,153.35,131.733,101.7,0,84.117,106.083,180.9,160.283,72.067,124.217,72.4,68.533,106.6,155.683,155.433,57.717,116.717,156.1,167.717,140.067,38.8,168.467,110.5,132.217,97.317,158.417,117.417,138.55,166.733,105.667,127.433,90.883,61.133,95.783,143.85,132.083,31.683,82.55,185.95,82.433,109.133,105.967,17.2,115.033,107.3,67.233,63.95,123.917,149.533,177.45,145.933,142.75,171.333,136.783,81.7,159.217,122.917,152.733,118.917,110.65,115.65,113.8,147.05,94.717,147.15,161.033,106.133,72.333,141.583,46.783,75.283,148,126.717,58.417,127.567,132.917,168.767,117.383,129.817,120.25,173.533,118.35,67.7
"Carroll",111.433,174.05,95.45,189.3,54.783,168.783,98.217,146.6,84.467,0,72.85,134.217,113.6,127.217,179.35,85.767,102.233,161.733,116.933,170.5,56.183,167.2,109.417,193.15,101.317,59.85,106.517,165.633,187.35,86.217,113.65,142.85,108.633,120.05,131.1,80.75,12.467,102.567,152.883,81.883,187.233,103.417,135.85,124,35.017,30.717,161.1,79.683,170.183,162.433,83.867,119.083,84.95,129.183,138.583,102.9,96.067,124.667,90.1,65.4,177.967,137.617,168.333,174.05,34.783,51.75,139.233,108.283,55.75,79.517,114.35,162.783,55.6,107.45,99.483,124.65,114.5,181.85,120.317,88.817,147.667,92.017,172.517,91.067,145.683,199.717,143.767,85.6
"Champaign",59.617,146.783,118.183,212.033,121.733,129.467,146.25,186.333,107.2,72.65,0,128.683,95.883,149.933,202.083,123.383,139.85,184.45,69.817,131.183,57.367,163.4,81.917,168.667,56.867,82.583,140.483,188.367,210.083,134.25,75.217,115.483,48.3,92.55,106.617,77.6,79.417,102.617,163.1,115.867,209.95,136.767,160.4,157.967,83.067,97.667,183.833,102.417,192.9,185.15,70.45,141.817,132.983,85.7,94.25,62.733,78.9,97.15,82.367,113.433,138.65,98.283,128.7,196.767,91.683,110.233,114.75,63.85,103.783,119.167,86.833,164.4,45.367,155.5,120.2,159.917,162.55,204.583,143.05,44.383,104.183,140.783,195.25,46.617,123.517,160.4,119.3,85.65
"Clark",126.05,224.4,190.6,284.45,136,203.9,207.65,256.05,179.617,132.05,122.233,0,27.9,222.35,274.5,193.367,209.817,256.867,131.883,205.6,150.767,241.033,66.283,250.217,76.717,155,118.95,260.767,282.483,195.65,72.667,193.483,123.267,71.95,184.25,60.917,131.933,197.15,248.033,98.8,282.367,206.733,232.817,123.6,144.467,150.683,256.25,174.833,265.317,257.567,178.45,214.233,194.383,160.033,92.95,70,52.767,81.517,61.783,174.833,213.083,172.717,203.033,269.183,114.017,174.5,192.383,111.267,165.183,117.8,71.2,258.467,144.667,216.9,194.633,232.333,223.95,276.983,215.467,103.767,178.5,123.2,267.667,82.233,201.133,234.833,196.917,180.183
"Clermont",98.15,196.5,170.867,264.717,137.933,176,187.933,236.317,159.883,112.333,94.333,28.5,0,202.633,254.767,173.633,190.1,237.15,103.983,177.7,131.033,213.117,38.383,222.3,48.8,135.283,120.9,241.05,262.767,175.933,44.767,165.583,95.35,49.017,156.333,60.75,119.083,177.417,228.3,100.75,262.65,187.017,213.1,125.55,124.733,137.333,236.517,155.1,245.6,237.85,158.733,194.517,174.667,132.133,65.05,42.083,24.867,53.617,42.917,155.117,185.167,144.817,175.133,249.467,118.833,151.9,164.483,83.367,145.45,119.733,43.3,230.317,124.933,197.167,174.9,212.6,204.217,257.267,195.733,75.867,150.6,125.133,247.933,54.333,173.233,206.933,169.017,160.45
