"","Adams","Alamosa","Arapahoe","Archuleta","Baca","Bent","Boulder","Broomfield","Chaffee","Cheyenne","Clear Creek","Conejos","Costilla","Crowley","Custer","Delta","Denver","Dolores","Douglas","Eagle","El Paso","Elbert","Fremont","Garfield","Gilpin","Grand","Gunnison","Hinsdale","Huerfano","Jackson","Jefferson","Kiowa","Kit Carson","La Plata","Lake","Larimer","Las Animas","Lincoln","Logan","Mesa","Mineral","Moffat","Montezuma","Montrose","Morgan","Otero","Ouray","Park","Phillips","Pitkin","Prowers","Pueblo","Rio Blanco","Rio Grande","Routt","Saguache","San Juan","San Miguel","Sedgwick","Summit","Teller","Washington","Weld","Yuma"
"Adams",0,410.364,306.712,474.406,418.155,339.364,46.726,30.238,258.059,292.633,68.614,455.337,395.008,282.207,270.441,473.249,35.079,643.138,71.841,232.41,146.51,114.406,219.66,275.113,355.12,183.365,351.649,439.487,244.838,245.033,140.253,106.473,251.275,600.522,190.804,87.987,339.364,161.755,323.191,408.879,440.283,320.032,148.566,508.369,442.642,310.342,566.448,166.353,247.459,357.718,337.34,215.744,355.762,620.818,279.903,321.447,603.191,611.408,240.214,157.521,216.983,154.948,53.871,198.015
"Alamosa",410.223,0,430.29,143.516,369.294,266.123,420.722,402.345,131.62,416.211,337.529,44.972,66.687,235.274,213.604,334.041,374.134,312.248,348.791,310.039,264.204,318.106,222.167,143.845,281.879,359.191,196.267,187.171,221.433,430.773,240.44,334.193,377.702,269.632,217.468,478.592,266.123,256.204,726.915,435.793,109.393,62.146,292.918,299.808,32.277,237.101,358.144,215.336,651.183,213.506,312.695,195.643,433.391,333.492,415.397,83.715,316.197,403.104,643.938,250.435,278.65,505.595,462.338,544.662
"Arapahoe",307.979,430.01,0,573.527,206.246,170.225,329.699,311.322,406.169,15.839,335.591,474.983,414.654,193.227,355.294,740.226,298.916,742.259,267.617,499.387,236.724,242.059,313.605,431.642,185.286,450.342,508.178,596.016,260.52,524.993,407.23,225.808,55.611,699.643,457.781,385.916,170.225,428.732,334.343,675.856,539.404,488.316,415.543,611.719,462.288,195.522,670.055,370.61,223.741,514.247,138.894,266.439,622.739,724.425,546.88,476.527,706.798,715.015,300.526,424.498,308.696,243.624,360.094,208.619
"Archuleta",474.693,143.919,573.725,0,512.729,409.558,463.944,463.824,225.274,559.646,431.183,156.759,210.122,378.709,300.288,302.71,446.232,168.731,492.226,403.693,407.639,461.541,315.821,237.499,425.314,452.845,265.523,180.618,364.868,524.427,334.094,477.628,521.137,126.115,311.122,543.131,409.558,349.858,792.805,404.462,102.84,168.161,386.572,267.727,155.442,380.536,209.423,308.99,717.073,282.762,456.13,339.078,484.501,189.975,509.051,152.971,172.68,270.09,709.828,344.089,372.304,624.562,526.808,667.629
"Baca",419.229,369.059,206.247,512.576,0,135.466,440.949,422.572,426.653,194.034,446.841,414.032,353.703,207.706,349.652,666.436,410.166,681.308,378.867,610.637,334.722,353.309,328.532,452.126,150.527,561.592,528.662,556.231,262.511,636.243,474.121,337.058,166.861,638.692,569.031,497.166,135.466,539.982,512.538,787.106,478.453,427.365,526.793,632.203,401.337,168.726,690.539,449.017,401.936,534.731,96.591,271.496,733.989,702.552,658.13,459.274,685.257,735.499,445.251,535.748,405.033,354.874,471.344,337.849
"Bent",340.629,265.933,170.244,409.45,135.441,0,355.773,337.396,285.629,156.165,353.401,310.906,250.577,72.239,224.884,525.412,309.185,578.182,283.842,508.395,199.255,253.157,193.065,311.102,15.755,459.35,387.638,453.105,127.044,534.001,338.654,258.458,117.656,535.566,384.881,413.643,0,354.418,474.669,684.864,375.327,324.239,424.551,491.179,298.211,31.614,549.515,313.55,364.067,393.707,46.571,136.029,631.747,599.426,555.888,356.148,582.131,594.475,396.046,348.649,269.566,305.669,392.744,288.644
"Boulder",53.181,420.219,329.589,463.11,441.032,355.656,0,21.551,246.763,315.51,51.521,465.192,404.863,293.57,280.296,462.095,44.934,631.842,82.448,221.256,156.365,131.312,229.515,263.817,371.412,172.211,340.353,428.191,254.693,246.862,128.957,123.379,274.152,589.226,179.65,106.023,355.656,150.601,377.873,397.725,428.987,308.736,137.412,497.215,452.497,326.634,555.294,155.057,302.141,346.422,360.217,225.599,344.608,609.664,268.749,310.151,592.037,600.254,294.896,146.367,226.838,209.63,97.417,252.697
"Broomfield",36.3,402.394,311.764,461.573,423.207,337.831,21.436,0,245.226,297.685,55.781,447.367,387.038,275.745,262.471,460.416,27.109,630.305,64.623,219.577,138.54,113.487,211.69,262.28,353.587,170.532,338.816,426.654,236.868,245.183,127.42,105.554,256.327,587.689,177.971,89.142,337.831,148.922,360.048,396.046,427.45,307.199,135.733,495.536,434.672,308.809,553.615,153.52,284.316,344.885,342.392,207.774,342.929,607.985,267.07,308.614,590.358,598.575,277.071,144.688,209.013,191.805,80.536,234.872
"Chaffee",258.334,131.506,400.349,225.304,425.73,284.666,247.585,247.465,0,386.27,214.824,176.479,194.405,222.58,76.432,241.77,229.873,394.036,243.792,187.334,165.351,224.07,91.965,27.46,300.422,236.486,103.996,191.834,183.703,308.068,117.735,240.157,344.912,351.42,94.763,326.772,284.666,133.499,576.446,363.803,191.181,70.93,170.213,207.537,163.784,255.644,265.873,92.631,500.714,110.065,331.238,154.609,310.686,320.243,292.692,72.345,302.616,310.833,493.469,127.73,155.945,408.203,310.449,451.27
"Cheyenne",292.689,414.72,15.839,558.237,193.982,154.935,314.409,296.032,390.879,0,320.301,459.693,399.364,177.937,340.004,724.936,283.626,726.969,252.327,484.097,221.434,226.769,298.315,416.352,169.996,435.052,492.888,580.726,245.23,509.703,391.94,210.518,40.321,684.353,442.491,370.626,154.935,413.442,318.503,660.566,524.114,473.026,400.253,596.429,446.998,180.232,654.765,355.32,207.901,498.957,123.604,251.149,607.449,709.135,531.59,461.237,691.508,699.725,284.686,409.208,293.406,233.201,344.804,192.779
"Clear Creek",68.461,337.526,335.354,431.324,446.797,351.941,51.513,57.592,214.977,321.275,0,382.499,401.148,289.855,276.581,402.607,47.721,600.056,78.733,161.768,152.65,127.597,225.8,232.031,367.697,112.723,308.567,396.405,250.978,187.374,117.599,119.664,279.917,557.44,120.162,136.899,351.941,91.113,386.573,338.237,397.201,276.95,77.924,437.727,369.804,322.919,495.806,121.884,310.841,314.636,365.982,221.884,285.12,550.176,209.261,278.365,532.549,540.766,303.596,86.879,187.184,218.33,120.576,261.397
"Conejos",454.938,45.199,475.005,156.739,414.009,310.838,465.437,447.06,176.335,460.926,382.244,0,61.475,279.989,258.319,379.189,418.849,325.471,393.506,354.754,308.919,362.821,266.882,188.56,326.594,403.906,241.415,232.141,266.148,475.488,285.155,378.908,422.417,282.855,262.183,523.307,310.838,300.919,771.63,480.941,154.363,106.861,337.633,344.956,33.202,281.816,366.163,260.051,695.898,258.654,357.41,240.358,478.106,346.715,460.112,128.863,329.42,426.83,688.653,295.15,323.365,550.31,507.053,589.377
"Costilla",394.634,66.468,414.701,209.985,353.705,250.534,405.133,386.756,194.248,400.622,402.761,61.475,0,219.685,198.015,407.009,358.545,378.717,333.202,372.667,248.615,302.517,241.993,206.473,266.29,421.819,269.235,253.64,205.844,493.401,303.068,318.604,362.113,336.101,280.096,463.003,250.534,318.832,711.326,508.761,175.862,124.774,355.546,372.776,73.649,221.512,431.112,277.964,635.594,289.078,297.106,180.054,496.019,399.961,478.025,156.683,382.666,476.072,628.349,313.063,318.926,490.006,446.749,529.073
"Crowley",283.149,235.087,193.231,378.604,207.682,72.24,293.648,275.271,223.504,179.152,291.276,280.06,219.731,0,162.759,463.287,247.06,547.336,221.717,446.27,137.13,191.032,130.94,248.977,87.996,397.225,325.513,413.351,67.985,471.876,276.529,201.325,140.643,504.72,322.756,351.518,72.24,292.293,455.414,622.739,344.481,293.393,362.426,429.054,267.365,43.218,487.39,251.425,379.682,331.582,118.812,73.904,569.622,541.76,493.763,293.862,524.133,532.35,372.437,286.524,207.441,268.536,335.264,307.603
"Custer",270.122,213.385,352.486,300.318,349.298,222.033,280.621,262.244,77.001,338.407,278.249,258.358,198.029,159.947,0,316.784,234.033,469.05,208.69,263.165,124.081,182.8,80.864,102.474,237.789,312.317,179.01,266.848,121.07,383.899,195.852,198.887,299.898,426.434,170.594,338.491,222.033,211.616,586.814,439.634,266.195,145.944,237.271,282.551,245.663,193.011,340.887,170.748,511.082,185.079,268.605,89.683,386.517,395.257,368.523,147.359,377.63,385.847,503.837,205.847,129.678,378.05,322.237,417.562
"Delta",472.667,335.007,739.56,302.76,666.745,525.681,462.423,461.798,242.433,725.481,402.176,379.739,401.21,463.595,317.447,0,444.206,233.203,475.218,242.225,414.329,524.082,332.98,214.858,541.437,392.719,138.568,153.695,424.718,443.01,349.731,516.149,684.123,238.592,332.881,541.105,525.681,351.509,790.779,101.85,234.525,285.881,357.565,35.24,346.53,496.659,93.319,324.627,715.047,181.883,572.253,395.624,181.889,147.689,361.615,250.874,130.062,138.279,707.802,347.275,387.941,622.536,524.782,665.603
"Denver",35.742,377.042,299.558,445.336,411.001,312.479,46.241,27.864,228.989,285.479,48.346,422.015,361.686,250.393,237.119,444.179,0,614.068,39.271,203.34,113.188,88.135,186.338,246.043,328.235,154.295,322.579,410.417,211.516,228.946,111.183,80.202,244.121,571.452,161.734,104.111,312.479,132.685,353.854,379.809,411.213,290.962,119.496,479.299,409.32,283.457,537.378,137.283,278.122,328.648,330.186,182.422,326.692,591.748,250.833,292.377,574.121,582.338,270.877,128.451,183.661,185.611,87.857,228.678
