"","Acadia","Allen","Ascension","Assumption","Avoyelles","Beauregard","Bienville","Bossier","Caddo","Calcasieu","Caldwell","Cameron","Catahoula","Claiborne","Concordia","De Soto","East Baton Rouge","East Carroll","East Feliciana","Evangeline","Franklin","Grant","Iberia","Iberville","Jackson","Jefferson","Jefferson Davis","Lafayette","Lafourche","LaSalle","Lincoln","Livingston","Madison","Morehouse","Natchitoches","Orleans","Ouachita","Plaquemines","Pointe Coupee","Rapides","Red River","Richland","Sabine","St. Bernard","St. Charles","St. Helena","St. James","St. John the Baptist","St. Landry","St. Martin","St. Mary","St. Tammany","Tangipahoa","Tensas","Terrebonne","Union","Vermilion","Vernon","Washington","Webster","West Baton Rouge","West Carroll","West Feliciana","Winn"
"Acadia",0,400.918,76.957,34.774,275.355,344.891,446.122,518.537,543.749,303.998,399.368,336.891,156.157,459.328,263.205,452.183,115.803,451.25,169.018,218.472,82.903,302.267,126.563,100.386,169.339,92.08,225.25,156.817,6.303,134.074,448.607,115.298,404.915,425.684,384.04,99.059,450.44,100.223,172.833,312.632,433.995,107.418,420.296,123.32,68.413,177.295,54.102,67.683,238.179,142.104,82.903,148.029,170.853,376.47,25.837,66.936,151.822,438.141,201.941,502.532,118.881,479.673,164.986,374.229
"Allen",401.924,0,367.249,373.025,152.766,128.265,95.989,120.541,145.753,121.886,143.035,282.563,283.104,190.965,217.819,54.187,326.043,316.391,292.012,243.153,319.822,167.486,277.258,455.607,269.445,447.301,240.694,245.89,406.712,283.046,148.107,372.69,287.812,240.289,26.281,454.28,198.032,470.023,240.015,88.665,35.999,314.59,39.867,478.541,433.99,327.26,395.52,412.546,168.334,270.392,319.822,432.757,348.347,231.565,408.843,382.07,280.51,133.382,200.064,104.536,300.966,304.59,262.043,73.368
"Ascension",76.89,366.418,0,50.656,185.185,310.101,411.622,484.037,509.249,269.498,302.449,302.101,122.027,349.432,190.245,417.683,42.843,351.221,96.058,183.682,128.928,267.477,162.025,92.634,96.379,84.328,190.46,130.657,77.35,167.813,414.107,46.087,304.886,352.724,349.54,91.307,340.544,107.05,99.873,278.132,399.495,153.443,385.796,115.568,71.003,83.207,36.587,49.573,203.679,136.316,128.928,103.38,111.389,303.51,134.383,23.137,164.863,403.641,167.441,468.032,45.921,356.215,92.026,339.729
"Assumption",33.379,373.245,50.783,0,207.106,337.528,418.449,490.864,516.076,276.325,345.286,329.528,149.454,392.269,233.082,424.51,85.68,394.058,138.895,211.109,87.485,294.904,131.145,126.044,139.216,117.738,217.887,158.084,35.478,138.656,420.934,89.124,347.723,395.561,356.367,124.717,383.381,140.46,142.71,284.959,406.322,112,392.623,148.978,86.155,148.641,40.008,82.983,210.506,146.686,87.485,169.222,177.062,346.347,54.609,32.363,156.404,410.468,174.268,474.859,73.275,399.052,134.863,346.556
"Avoyelles",276.823,153.152,185.444,206.37,0,143.898,190.943,270.771,295.983,84.301,139.865,248.255,158.003,199.825,121.722,204.417,144.156,254.733,139.394,174.228,194.721,122.983,152.157,273.802,116.827,265.496,181.006,120.789,281.611,157.945,193.428,190.885,208.398,227.403,136.274,272.475,190.937,288.218,87.397,64.866,186.229,189.489,172.53,296.736,252.185,174.642,213.715,230.741,43.243,145.291,194.721,250.952,195.729,183.007,283.742,200.265,155.409,182.962,74.963,254.766,134.311,235.712,109.425,119.05
"Beauregard",346.163,128.081,311.216,338.157,144.104,0,195.808,245.7,270.912,80.323,218.349,154.688,227.071,278.309,232.917,155.715,270.01,365.853,324.288,134.353,264.061,40.026,221.497,399.574,248.75,391.268,125.881,190.129,350.951,227.285,231.061,316.657,319.593,305.887,117.131,398.247,269.421,413.99,219.32,112.859,161.158,258.829,88.965,422.508,377.957,350.326,339.487,356.513,115.292,214.631,264.061,376.724,384.733,294.202,353.082,326.037,198.72,230.359,152.5,229.695,268.683,354.052,241.348,170.345
"Bienville",447.493,95.942,412.818,418.594,191.031,196.314,0,109.555,137.395,189.922,109.761,374.545,328.673,95.306,209.303,100.815,371.612,220.732,330.277,288.722,365.391,235.522,322.827,501.176,307.71,492.87,290.147,291.459,452.281,328.615,52.448,418.259,192.153,144.63,79.077,499.849,102.373,515.592,278.28,156.701,59.975,360.159,124.276,524.11,479.559,440.819,441.089,458.115,213.903,315.961,365.391,478.326,423.642,189.966,454.412,427.639,326.079,50.079,245.633,53.136,346.535,208.931,300.308,72.316
"Bossier",519.859,120.243,485.184,490.96,270.701,246.2,109.387,0,59.518,239.821,223.876,400.498,401.039,165.523,322.433,81.127,443.978,290.949,409.947,361.088,437.757,285.421,395.193,573.542,387.38,565.236,358.629,363.825,524.647,400.981,122.665,490.625,262.37,214.847,144.216,572.215,172.59,587.958,357.95,206.6,90.525,432.525,150.179,596.476,551.925,445.195,513.455,530.481,286.269,388.327,437.757,550.692,493.859,260.183,526.778,500.005,398.445,147.145,317.999,63.489,418.901,279.148,379.978,180.017
"Caddo",544.278,144.662,509.603,515.379,295.12,270.619,138.365,61.087,0,264.24,252.854,424.917,425.458,194.501,351.411,105.546,468.397,319.927,434.366,385.507,462.176,309.84,419.612,597.961,411.799,589.655,383.048,388.244,549.066,425.4,151.643,515.044,291.348,243.825,168.635,596.634,201.568,612.377,382.369,231.019,131.897,456.944,174.598,620.895,576.344,469.614,537.874,554.9,310.688,412.746,462.176,575.111,522.837,289.161,551.197,524.424,422.864,176.123,342.418,92.467,443.32,308.126,404.397,215.722
"Calcasieu",306.759,122.42,272.084,277.86,84.959,80.057,190.13,240.039,265.251,0,150.516,203.638,187.939,210.476,165.084,173.685,230.878,298.02,249.641,127.721,224.657,48.249,182.093,360.442,202.916,352.136,119.24,150.725,311.547,187.881,199.747,277.525,251.76,238.054,105.542,359.115,201.588,374.858,173.486,45.026,155.497,219.425,111.474,383.376,338.825,276.424,300.355,317.381,73.169,175.227,224.657,337.592,345.601,226.369,313.678,286.905,185.345,189.281,104.899,224.034,205.801,286.219,195.514,125.369
"Caldwell",400.938,143.116,302.902,345.242,144.476,214.971,111.329,224.073,251.913,144.103,0,327.99,282.118,61.244,112.549,194.381,261.614,148.788,229.589,242.167,318.836,197.392,276.272,391.26,209.423,382.954,243.592,244.904,405.726,282.06,103.786,308.343,120.209,88.822,123.502,389.933,52.356,405.676,234.654,115.039,149.937,313.604,168.701,414.194,369.643,256.467,331.173,348.199,167.348,269.406,318.836,353.275,270.364,89.814,407.857,317.723,279.524,68.667,199.078,167.654,265.663,136.987,211.425,70.241
"Cameron",336.665,282.605,301.718,328.659,248.093,154.523,374.581,400.224,425.436,203.619,327.827,0,217.573,387.787,338.469,310.239,260.512,475.331,314.79,124.855,254.563,166.831,211.999,390.076,315.111,381.77,116.383,180.631,341.453,186.691,377.066,307.159,425.145,415.365,271.655,388.749,378.899,404.492,284.945,241.091,315.682,249.331,243.489,413.01,368.459,340.828,329.989,347.015,204.973,205.133,254.563,367.226,375.235,399.754,343.584,316.539,165.532,366.6,219.284,384.219,259.185,463.53,310.758,302.688
"Catahoula",157.451,282.77,122.176,149.117,157.207,226.453,327.974,400.389,425.601,185.85,281.22,218.453,0,341.18,229.435,334.035,80.97,370.44,135.248,100.034,75.349,183.829,33.134,210.534,135.569,202.228,106.812,47.009,162.239,49.268,330.459,127.617,324.105,368.758,265.892,209.207,332.292,224.95,105.403,194.484,315.847,70.117,302.148,233.468,188.917,161.286,150.447,167.473,120.031,17.661,75.349,187.684,195.693,353.147,164.37,136.997,61.651,319.993,83.793,384.384,79.643,416.923,131.216,256.081
"Claiborne",460.855,163.667,350.111,392.451,204.393,274.888,89.415,164.423,192.263,204.02,61.201,387.907,342.035,0,159.758,207.388,308.823,128.274,276.798,302.084,378.753,257.309,336.189,463.956,256.632,455.65,303.509,304.821,423.199,341.977,44.136,402.189,99.695,52.172,144.053,462.629,9.915,478.372,281.863,174.956,154.882,373.521,189.252,486.89,457.458,348.361,378.382,426.324,227.265,329.323,378.753,414.095,331.184,97.508,505.705,364.932,339.441,51.096,258.995,108.004,312.872,116.473,258.634,90.792
"Concordia",262.98,218.042,190.352,232.692,121.51,229.743,209.222,322.015,349.855,158.875,112.203,338.488,229.219,159.186,0,269.307,149.064,160.975,117.039,264.312,284.805,207.89,242.241,278.71,96.873,270.404,271.09,210.873,263.44,248.029,201.728,195.793,114.64,162.478,201.164,277.383,150.298,293.126,122.104,129.756,251.119,279.573,237.42,301.644,257.093,143.917,218.623,235.649,177.846,243.508,284.805,240.725,157.814,113.264,320.459,205.173,245.493,179.586,165.007,265.596,153.113,165.969,98.875,138.602
"De Soto",453.213,53.597,418.538,424.314,204.055,156.092,100.82,81.507,106.719,173.175,194.324,310.39,334.393,208.165,269.108,0,377.332,333.591,343.301,294.442,371.111,193.35,328.547,506.896,320.734,498.59,291.983,297.179,458.001,334.335,165.307,423.979,305.012,257.489,77.57,505.569,215.232,521.312,291.304,139.954,40.83,365.879,67.33,529.83,485.279,378.549,446.809,463.835,219.623,321.681,371.111,484.046,399.636,302.825,460.132,433.359,331.799,144.821,251.353,106.131,352.255,321.79,313.332,124.657
"East Baton Rouge",115.501,324.737,42.873,85.213,138.071,268.42,369.941,442.356,467.568,227.817,261.395,260.42,80.346,308.378,149.191,376.002,0,310.167,55.004,142.001,162.908,225.796,120.344,131.231,55.325,122.925,148.779,88.976,115.961,126.132,372.426,48.314,263.832,311.67,307.859,129.904,299.49,145.647,58.819,236.451,357.814,157.676,344.115,154.165,109.614,81.983,71.144,88.17,161.998,94.635,162.908,108.381,116.39,262.456,172.98,57.694,123.182,361.96,125.76,426.351,4.24,315.161,50.972,298.048
"East Carroll",451.263,289.448,351.317,393.657,254.51,362.873,215.196,290.204,318.044,292.005,149.186,475.892,369.9,127.375,160.964,333.169,310.029,0,265.723,390.069,466.738,345.294,424.174,416.181,257.838,407.875,391.494,392.806,457.924,429.962,169.917,354.414,46.575,76.585,269.834,414.854,118.487,430.597,283.069,262.941,280.663,461.506,315.033,439.115,409.683,300.586,379.588,378.549,315.25,417.308,466.738,366.32,283.409,82.011,457.93,366.138,427.426,176.877,346.98,233.785,314.078,23.539,259.84,216.573
"East Feliciana",169.471,292.195,96.843,139.183,139.257,323.784,329.986,409.814,435.026,246.65,229.319,315.784,135.71,276.302,117.115,343.46,55.555,265.421,0,197.365,218.272,245.921,175.708,177.006,20.29,168.7,204.143,144.34,169.931,181.496,318.844,60.308,219.086,279.594,275.317,175.679,267.414,191.422,53.945,203.909,325.272,213.04,311.573,199.94,170.508,35.247,125.114,139.374,180.831,149.999,218.272,127.145,56.334,230.38,218.755,111.664,178.546,296.702,144.593,382.712,59.604,293.844,39.874,258.093
"Evangeline",219.154,244.121,184.207,211.148,175.187,133.702,289.325,361.74,386.952,127.866,242.571,125.702,100.062,302.531,291.466,295.386,143.001,390.075,197.279,0,137.052,91.078,94.488,272.565,197.6,264.259,13.837,63.12,223.942,100.276,291.81,189.648,339.889,330.109,227.243,271.238,293.643,286.981,167.434,155.835,277.198,131.82,222.668,295.499,250.948,223.317,212.478,229.504,95.099,87.622,137.052,249.715,257.724,314.498,226.073,199.028,71.711,281.344,101.773,345.735,141.674,378.274,193.247,217.432
"Franklin",84.046,319.733,129.209,87.767,194.17,263.706,364.937,437.352,462.564,222.813,318.183,255.706,74.972,378.143,310.873,370.998,162.408,465.687,216.686,137.287,0,221.082,45.378,173.147,217.007,164.841,144.065,75.632,88.834,52.889,367.422,209.055,415.501,405.721,302.855,171.82,369.255,172.984,186.841,231.447,352.81,26.233,339.111,196.081,141.174,264.725,118.434,162.291,156.994,60.919,0,220.79,258.283,390.11,90.965,110.789,70.637,356.956,120.756,421.347,161.081,453.886,212.654,293.044
"Grant",302.74,168.02,267.793,294.734,122.849,41.807,235.73,285.639,310.851,48.249,197.281,166.809,183.648,257.241,207.923,193.269,226.587,344.785,280.865,90.93,220.638,0,178.074,356.151,218.542,347.845,82.449,146.706,307.528,183.862,246.52,273.234,294.599,284.819,151.142,354.824,248.353,370.567,189.112,90.626,201.097,215.406,126.519,379.085,334.534,306.903,296.064,313.09,79.729,171.208,220.638,333.301,341.31,269.208,309.659,282.614,155.297,236.054,116.937,269.634,225.26,332.984,211.14,172.142
"Iberia",127.821,277.526,161.407,131.542,151.963,221.499,322.73,395.145,420.357,180.606,275.976,213.499,33.202,335.936,268.666,328.791,120.201,423.48,174.479,95.08,45.719,178.875,0,216.922,174.8,208.616,101.858,33.425,132.609,15.507,325.215,166.848,373.294,363.514,260.648,215.595,327.048,216.759,144.634,189.24,310.603,40.487,296.904,239.856,184.949,200.517,162.209,206.066,114.787,15.54,45.719,226.915,234.924,347.903,134.74,154.564,33.255,314.749,78.549,379.14,118.874,411.679,170.447,250.837
"Iberville",100.211,455.407,93.121,126.678,274.174,399.09,500.611,573.026,598.238,358.487,391.438,391.09,211.016,464.104,279.234,506.672,131.832,416.882,178.175,272.671,173.146,356.466,216.806,0,185.368,12.494,279.449,219.646,93.918,224.317,506.646,118.272,370.547,466.711,438.529,1.358,455.216,20.706,188.862,367.121,488.484,197.661,474.785,24.808,45.677,142.927,98.57,48.288,292.668,225.305,173.146,71.788,136.485,412.164,93.924,99.159,242.065,492.63,256.43,557.021,134.91,445.305,181.015,428.718
